id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,quartier
2025-1075391,2025-01-08,1,Vente,110000.0,1.0,,CHE DU PONT DE BOIS,5895,83200.0,83137,Toulon,83,,,83137000CW0260,,,24.0,59.08,9.0,,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.909589,43.128873,Toulon - Ubc - Dardennes - Barbanne
2025-1075394,2025-01-10,1,Vente,88000.0,7.0,,RUE D ANTRECHAUS,0370,83000.0,83137,Toulon,83,,,83137000CK0054,,,25.0,25.0,,,,,,,,,1,2.0,Appartement,23.0,1.0,,,,,,5.933835,43.125896,Toulon - Haute ville
2025-1075394,2025-01-10,1,Vente,88000.0,7.0,,RUE D ANTRECHAUS,0370,83000.0,83137,Toulon,83,,,83137000CK0054,,,3.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.933835,43.125896,Toulon - Haute ville
2025-1075397,2025-01-02,1,Vente,73000.0,72.0,,RUE JEAN JAURES,3895,83000.0,83137,Toulon,83,,,83137000CP0057,,,3.0,30.0,,,,,,,,,1,2.0,Appartement,30.0,2.0,,,,,,5.927228,43.124605,Toulon - Haute ville
2025-1075405,2025-01-10,1,Vente,70000.0,2.0,,RUE NOTRE DAME,5410,83000.0,83137,Toulon,83,,,83137000CN0137,,,13.0,27.0,,,,,,,,,1,2.0,Appartement,26.0,1.0,,,,,,5.930739,43.123819,Toulon - Haute ville
2025-1075411,2025-01-07,1,Vente,260000.0,4.0,,RUE GUYNEMER,3530,83100.0,83137,Toulon,83,,,83137000AX0591,,,,,,,,,,,,,0,1.0,Maison,76.0,3.0,S,sols,,,571.0,5.966743,43.12638,Toulon - Haute ville
2025-1075411,2025-01-07,1,Vente,260000.0,,,IMP BRUNO,1090,83100.0,83137,Toulon,83,,,83137000AX0612,,,,,,,,,,,,,0,,,,,S,sols,,,62.0,5.966613,43.126353,Toulon - Haute ville
2025-1075413,2025-01-03,1,Vente,95000.0,8.0,,RUE JEANNE D ARC,3960,83200.0,83137,Toulon,83,,,83137000CY0120,,,10.0,,14.0,52.5,,,,,,,2,2.0,Appartement,45.0,2.0,,,,,,5.919092,43.130835,Toulon - Ubc - Dardennes - Barbanne
2025-1075413,2025-01-03,1,Vente,95000.0,8.0,,RUE JEANNE D ARC,3960,83200.0,83137,Toulon,83,,,83137000CY0120,,,10.0,,14.0,52.5,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.919092,43.130835,Toulon - Ubc - Dardennes - Barbanne
2025-1075414,2025-01-13,1,Vente,350000.0,224.0,,AV DE LA REPUBLIQUE,6175,83000.0,83137,Toulon,83,,,83137000CN0423,,,56.0,80.23,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.93157,43.120417,Toulon - Haute ville
2025-1075414,2025-01-13,1,Vente,350000.0,224.0,,AV DE LA REPUBLIQUE,6175,83000.0,83137,Toulon,83,,,83137000CN0423,,,56.0,80.23,,,,,,,,,1,2.0,Appartement,94.0,3.0,,,,,,5.93157,43.120417,Toulon - Haute ville
2025-1075416,2025-01-06,1,Vente,265000.0,61.0,,RUE LOUIS BRES,4605,83100.0,83137,Toulon,83,,,83137000BD0150,,,,,,,,,,,,,0,1.0,Maison,68.0,3.0,S,sols,,,425.0,5.972372,43.120106,Toulon - Haute ville
2025-1075417,2025-01-10,1,Vente,128000.0,129.0,,RUE MOREAU,5325,83200.0,83137,Toulon,83,,,83137000CX0436,,,14.0,67.04,4.0,,,,,,,,2,2.0,Appartement,66.0,4.0,,,,,,5.911379,43.129859,Toulon - Ubc - Dardennes - Barbanne
2025-1075417,2025-01-10,1,Vente,128000.0,129.0,,RUE MOREAU,5325,83200.0,83137,Toulon,83,,,83137000CX0436,,,14.0,67.04,4.0,,,,,,,,2,3.0,Dépendance,,0.0,,,,,,5.911379,43.129859,Toulon - Ubc - Dardennes - Barbanne
2025-1075418,2025-01-06,1,Vente,20000.0,9100.0,,AV GAI COTEAU,3133,83200.0,83137,Toulon,83,,,83137000DR0276,,,128.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.888707,43.13629,Toulon - Ubc - Dardennes - Barbanne
2025-1075420,2025-01-13,1,Vente,135000.0,76.0,,RUE D ISLY,3735,83200.0,83137,Toulon,83,,,83137000CX0147,,,1.0,66.36,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.915058,43.129195,Toulon - Ubc - Dardennes - Barbanne
2025-1075420,2025-01-13,1,Vente,135000.0,76.0,,RUE D ISLY,3735,83200.0,83137,Toulon,83,,,83137000CX0147,,,1.0,66.36,,,,,,,,,1,2.0,Appartement,70.0,3.0,,,,,,5.915058,43.129195,Toulon - Ubc - Dardennes - Barbanne
2025-1075421,2025-01-09,1,Vente,164010.0,70.0,,CRS LAFAYETTE,4230,83000.0,83137,Toulon,83,,,83137000CL0071,,,5.0,68.15,,,,,,,,,1,2.0,Appartement,65.0,3.0,,,,,,5.935036,43.122021,Toulon - Haute ville
2025-1075422,2025-01-17,1,Vente,240500.0,771.0,,AV DE LA VICTOIRE DU 8 5 1945,7135,83000.0,83137,Toulon,83,,,83137000AO0371,,,8.0,90.55,,,,,,,,,1,2.0,Appartement,89.0,4.0,,,,,,5.935818,43.131208,Toulon - Haute ville
2025-1075422,2025-01-17,1,Vente,240500.0,771.0,,AV DE LA VICTOIRE DU 8 5 1945,7135,83000.0,83137,Toulon,83,,,83137000AO0371,,,8.0,90.55,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.935818,43.131208,Toulon - Haute ville
2025-1075424,2025-01-03,1,Vente,253100.0,563.0,,CHE DE FORGENTIER,2900,83200.0,83137,Toulon,83,,,83137000DS0649,,,6.0,85.65,,,,,,,,,1,2.0,Appartement,85.0,4.0,,,,,,5.89958,43.135717,Toulon - Ubc - Dardennes - Barbanne
2025-1075424,2025-01-03,1,Vente,253100.0,563.0,,CHE DE FORGENTIER,2900,83200.0,83137,Toulon,83,,,83137000DS0649,,,10.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.89958,43.135717,Toulon - Ubc - Dardennes - Barbanne
2025-1075429,2025-01-09,1,Vente,137000.0,32.0,,RUE PAUL LENDRIN,5620,83000.0,83137,Toulon,83,,,83137000CK0164,,,2.0,54.05,,,,,,,,,1,2.0,Appartement,53.0,3.0,,,,,,5.934551,43.123253,Toulon - Haute ville
2025-1075434,2025-01-08,1,Vente,94000.0,1628.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,,83137000BD0366,,,36.0,43.8,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.970436,43.122706,Toulon - Haute ville
2025-1075434,2025-01-08,1,Vente,94000.0,1628.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,,83137000BD0366,,,36.0,43.8,,,,,,,,,1,2.0,Appartement,43.0,2.0,,,,,,5.970436,43.122706,Toulon - Haute ville
2025-1075434,2025-01-08,1,Vente,94000.0,1628.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,,83137000BD0366,,,5.0,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.970436,43.122706,Toulon - Haute ville
